name,price,discount,material,size
Мечта ,"198 500 
",128 500,"Корпус ЛДСП EGGER
Фасады МДФ ПВХ
Фурнитура BOYARD с доводчиками
Ручки профильные наклвдные черные
Открытие Среднего ряда методом ЗАЦЕП
Антресольный ряд открывание с нажатия рукой",3400х1600х2600х600
Беркли ,"147 800  
",90 900,"Корпус ЛДСП EGGER
Фасады ЛДСП EGGER
Фурнитура BOYARD с доводчиками
Ручки профильные наклвдные черные
Открытие Среднего ряда методом ЗАЦЕП
Антресольный ряд открывание с нажатия рукой",200х2400х2600х600
Неоклассика,"129 500  
",99 500,"Корпус ЛДСП EGGER
Фасады МДФ ПВХ
Фурнитура BOYARD с доводчиками
Ручки профильные наклвдные серебро
Открытие Среднего ряда методом ЗАЦЕП",3000х1200х2500х600
Довер,86 400,86 400,"Корпус ЛДСП EGGER
Фасады ЛДСП EGGER
Фурнитура BOYARD с доводчиками
Ручки рейленговая черные
",2700х800х2450х600
Прованс,"150 000  
",106 300,"Корпус ЛДСП EGGER
Фасады МДФ ПВХ
Фурнитура BOYARD с доводчиками
Ручки профильные наклвдные черные
Открытие Среднего ряда методом ЗАЦЕП
Антресольный ряд открывание с нажатия рукой",2200х1700х2600х600
Минимализм ,"168 000 
",131 600,"Корпус ЛДСП EGGER
Фасады МДФ ПВХ
Фурнитура BOYARD с доводчиками
Ручки GOLA черная
Открытие Среднего ряда методом ЗАЦЕП
Антресольный ряд открывание с нажатия рукой",1600х2400х2600х600
Интеграция,"159 500
",127 300,"Корпус ЛДСП EGGER
Фасады Пластик
Фурнитура HETTICH с доводчиками
Ручки GOLA черная
Открытие Среднего ряда методом ЗАЦЕП
Антресольный ряд открывание с нажатия рукой",1200х2700х2500х600
Инновация,"135 500
",106 400,"Корпус ЛДСП EGGER
Фасады ЛДСП EGGER
Фурнитура BOYARD с доводчиками
Ручки GOLA серебреный
Открытие Среднего ряда методом ЗАЦЕП
Антресольный ряд открывание с нажатия рукой",1200х2200х1200х2500х600
Портал ,"159 700
",132 000,"Корпус ЛДСП EGGER
Фасады МДФ ПВХ
Фурнитура HETTICH с доводчиками
Ручки профильные наклвдные серебро
Открытие Среднего ряда методом ЗАЦЕП
Третий уровень с помощью нажатия на фасад",1500х2500х2500х600
Инфинити,"129 850
",101 300,"Корпус ЛДСП EGGER
Фасады ЛДСП EGGER
Фурнитура BOYARD с доводчиками
Ручки GOLA черный
Открытие Среднего ряда методом ЗАЦЕП
Антресольный ряд открывание с нажатия рукой",1500х2200х2600х600
